GMT,GRID_PRICE,PV_LIMIT,CAPACITY_LIMIT,CHARGING_LIMIT,DISCHARGING_LIMIT,TOTAL_DEMAND_25
16/10/2013 23:00,0.3137888,0,54,14.72,14.72,6.977
17/10/2013 0:00,0.2407818,0,54,14.72,14.72,4.481
17/10/2013 1:00,0.1934758,0,54,14.72,14.72,5.309
17/10/2013 2:00,0.1749464,0,54,14.72,14.72,3.792
17/10/2013 3:00,0.165518,0,54,14.72,14.72,3.726
17/10/2013 4:00,0.1668898,0,54,14.72,14.72,3.611
17/10/2013 5:00,0.1911524,0,54,14.72,14.72,4.774
17/10/2013 6:00,0.2558408,0,54,14.72,14.72,6.38
17/10/2013 7:00,0.3410822,1.04138,54,14.72,14.72,8.807
17/10/2013 8:00,0.3459716,4.1586,54,14.72,14.72,7.441
17/10/2013 9:00,0.3265528,6.17582,54,14.72,14.72,6.983
17/10/2013 10:00,0.309122,7.06937,54,14.72,14.72,6.836
17/10/2013 11:00,0.3031012,0.741387,54,14.72,14.72,7.285
17/10/2013 12:00,0.2993914,7.6486,54,14.72,14.72,7.132
17/10/2013 13:00,0.307586,4.92515,54,14.72,14.72,7.743
17/10/2013 14:00,0.2944496,3.86719,54,14.72,14.72,7.396
17/10/2013 15:00,0.3057066,0.466317,54,14.72,14.72,9.289
17/10/2013 16:00,0.3296806,0,54,14.72,14.72,8.745
17/10/2013 17:00,0.3864446,0,54,14.72,14.72,9.847
17/10/2013 18:00,0.4992488,0,54,14.72,14.72,12.738
17/10/2013 19:00,0.5209086,0,54,14.72,14.72,15.76
17/10/2013 20:00,0.5017106,0,54,14.72,14.72,16.945
17/10/2013 21:00,0.4622106,0,54,14.72,14.72,15.414
17/10/2013 22:00,0.3913898,0,54,14.72,14.72,11.289
